"Data";"Descrição";"Valor";"Conta";"Categoria"
"27/12/2025";"SAMSUNG TERRACO S (2/3)";"-208.25";"BRB";"Eletrônicos"
"22/02/2026";"ARAMIS OUTLET BRASILIA (2/3)";"-803.10";"BRB";"Vestuário"
"22/02/2026";"ALEXANIA OUTLET 000142 (2/3)";"-279.99";"BRB";"Vestuário"
"22/02/2026";"ALEXANIA OUTLET 000142 (2/3)";"-112.59";"BRB";"Vestuário"
"12/03/2026";"MP *OTICALAVISH (2/2)";"-575";"BRB";"Saúde"
"13/03/2026";"REDE DE ESTACIONAMENTOS";"-22";"BRB";"Transporte"
"13/03/2026";"LA FLEUR BISTRO";"-178.20";"BRB";"Restaurante"
"14/03/2026";"ESTACIONAMENTO IG";"-13";"BRB";"Transporte"
"14/03/2026";"BOULEVARD SHOPPING BRA";"-9.50";"BRB";"Lazer"
"14/03/2026";"MARZUK COMERCIO DE ALIM";"-68.89";"BRB";"Supermercado"
"14/03/2026";"OTICAS DINIZ (1/7)";"-500";"BRB";"Saúde"
"14/03/2026";"SEPHORA IGUABRASI (1/2)";"-287";"BRB";"Lazer"
"15/03/2026";"DONA SUDOESTE";"-105.12";"BRB";"Restaurante"
"15/03/2026";"DROGASIL 1368";"-225.64";"BRB";"Saúde"
"15/03/2026";"ATACADAO DIA A DIA";"-914.97";"BRB";"Supermercado"
"18/03/2026";"TAIOBA SELF SERVICE";"-17.68";"BRB";"Restaurante"
"19/03/2026";"TAIOBA SELF SERVICE";"-20.30";"BRB";"Restaurante"
"19/03/2026";"BIG BOX";"-56.43";"BRB";"Supermercado"
"20/03/2026";"IMPORTSHX";"-40";"BRB";"Outros"
"20/03/2026";"DF VEICULOS";"-71.63";"BRB";"Transporte"
"20/03/2026";"KREDIT*DOMA ROOFTOP B";"-32.38";"BRB";"Restaurante"
"21/03/2026";"NOTTE DINCANTO";"-162";"BRB";"Restaurante"
"22/03/2026";"CLEONISE";"-18";"BRB";"Outros"
"23/03/2026";"TAIOBA SELF SERVICE";"-23.62";"BRB";"Restaurante"
"24/03/2026";"TAIOBA SELF SERVICE";"-16.08";"BRB";"Restaurante"
"25/03/2026";"REDE DE ESTACIONAMENTOS";"-12";"BRB";"Transporte"
"25/03/2026";"TAIOBA SELF SERVICE";"-7.06";"BRB";"Restaurante"
"27/03/2026";"AHCAI SUDOESTE";"-64";"BRB";"Restaurante"
"27/03/2026";"BISCOITOS MINEIRO";"-54.23";"BRB";"Supermercado"
"28/03/2026";"REDE DE ESTACIONAMENTOS";"-22";"BRB";"Transporte"
"28/03/2026";"BACIO DI LATTE-LJ0029";"-54.90";"BRB";"Restaurante"
"28/03/2026";"ATACADAO DIA A DIA";"-1252.66";"BRB";"Supermercado"
"28/03/2026";"INDUSTRIA E COMER";"-10";"BRB";"Outros"
"28/03/2026";"CAJU LIMAO COMERCIO DE";"-189.95";"BRB";"Outros"
"29/03/2026";"ALEGRO PANI CAFFE";"-48";"BRB";"Restaurante"
"29/03/2026";"OPENAI";"-0.95";"BRB";"Serviços"
"30/03/2026";"BOULEVARD SHOPPING BRA";"-9.50";"BRB";"Lazer"
"30/03/2026";"OPENAI";"-0.95";"BRB";"Serviços"
"31/03/2026";"TAIOBA SELF SERVICE";"-5.88";"BRB";"Restaurante"
"31/03/2026";"Ajuste a Credito";"28.20";"BRB";"A classificar"
"01/04/2026";"TAIOBA SELF SERVICE";"-12.26";"BRB";"Restaurante"
"02/04/2026";"BIG BOX";"-111.92";"BRB";"Supermercado"
"02/04/2026";"NOTTE DINCANTO";"-60";"BRB";"Restaurante"
"02/04/2026";"5ASEC";"-56";"BRB";"Vestuário"
"02/04/2026";"BOULEVARD SHOPPING BRA";"-9.50";"BRB";"Vestuário"
"02/04/2026";"ATACADAO DIA A DIA";"-298.44";"BRB";"Supermercado"
"04/04/2026";"BIG BOX";"-87.78";"BRB";"Eletrônicos"
"05/04/2026";"CHURROS DA FATIMA REST";"-8";"BRB";"Restaurante"
"05/04/2026";"DONA SUDOESTE";"-251.17";"BRB";"Restaurante"
"06/04/2026";"TAIOBA SELF SERVICE";"-28.90";"BRB";"Restaurante"
"07/04/2026";"REDE AQUI";"-121.12";"BRB";"Outros"
"09/04/2026";"BIG BOX";"-83.03";"BRB";"Supermercado"
"09/04/2026";"LANCHONETE ESCOLA";"-51.01";"BRB";"Restaurante"
"10/04/2026";"DON DURICA CLUBE";"-92.73";"BRB";"Lazer"
"12/04/2026";"ATACADAO DIA A DIA";"-636.16";"BRB";"Supermercado"
"12/04/2026";"NOTTE DINCANTO";"-175.61";"BRB";"Restaurante"
"13/04/2026";"Tarifa Alerta por SMS";"-5";"BRB";"Serviços"
"13/04/2026";"DESCONTO ANUIDADE 50%";"70";"BRB";"A classificar"
"13/04/2026";"Anuidade (11/12)";"-140";"BRB";"Serviços"
"29/03/2026";"OPENAI US$ 5,00 R$ 5,4394 (7/10)";"-27.20";"BRB";"Serviços"
"30/03/2026";"OPENAI US$ 5,00 R$ 5,4465 (5/6)";"-27.23";"BRB";"Serviços"
