"Data";"Descrição";"Valor";"Conta";"Categoria"
"09/05/2025";"VIVO DF LJ D024 (8/10)";"-269.90";"BRB";"Serviços"
"17/06/2025";"WWW-CASASBAHIA-COM-BR (6/12)";"-247.76";"BRB";"Eletrônicos"
"09/09/2025";"PG *AFYA PARTICIP (4/12)";"-212.35";"BRB";"Educação"
"29/10/2025";"IG*MYPROFIT (3/3)";"-17.90";"BRB";"Serviços"
"25/11/2025";"SKYLER MR HOTEL (2/6)";"-495.72";"BRB";"Viagem"
"20/12/2025";"LOJA 18 STAR (2/6)";"-200";"BRB";"Vestuário"
"20/12/2025";"LOJA 18 STAR";"-150";"BRB";"Vestuário"
"14/01/2026";"IFD*FRANCISCO MACHADO";"-33.98";"BRB";"Serviços"
"17/01/2026";"MLP*MAGALU AI FOT";"-135.90";"BRB";"Eletrônicos"
"18/01/2026";"PRIVALIA BRA*PRIVALIA 704";"-534.68";"BRB";"Vestuário"
"23/01/2026";"BRADESCO AUT*06DE10";"-307.61";"BRB";"Serviços"
"23/01/2026";"IFD*CAMINITO SUDOESTE";"-111.77";"BRB";"Restaurante"
"23/01/2026";"REDE AQUI";"-266.68";"BRB";"Outros"
"24/01/2026";"LINDT SPRUNGLI BRAZIL";"-42.50";"BRB";"Lazer"
"04/02/2026";"EBN*SPOTIFY";"-40.90";"BRB";"Lazer"
"09/02/2026";"APPLECOMBILL (9/12)";"-19.90";"BRB";"Serviços"
