"Data";"Descrição";"Valor";"Conta";"Categoria"
"12/12/2025";"UBER * PENDING";"-23.97";"BRB";"Transporte"
"13/12/2025";"OPENAI *CHATGPT SUBSCR";"-3.95";"BRB";"Serviços"
"13/12/2025";"GOOGLE INSTAGRAM";"-8";"BRB";"Lazer"
"14/12/2025";"EC *SHELLBOX";"-193.72";"BRB";"Transporte"
"14/12/2025";"PB*KASPERSKY BRA";"-86.90";"BRB";"Serviços"
"16/12/2025";"PRUDENT*APOL001495366";"-342.97";"BRB";"Serviços"
"19/12/2025";"AMAZON BR";"-346.34";"BRB";"Outros"
"21/12/2025";"AMAZONMKTPLC*UTILIFACI";"-74.90";"BRB";"Casa"
"21/12/2025";"AMAZONMKTPLC*THALESALA";"-79.90";"BRB";"Outros"
"21/12/2025";"AMAZONMKTPLC*TIAGODION";"-169.99";"BRB";"Outros"
"26/12/2025";"CONTA VIVO";"-385.18";"BRB";"Serviços"
"26/12/2025";"AMAZONMKTPLC*PBMARKETI";"-149.90";"BRB";"Outros"
"28/12/2025";"GOOGLE ONE";"-96.99";"BRB";"Serviços"
"29/12/2025";"EC *SHELLBOX";"-175.12";"BRB";"Transporte"
"30/12/2025";"NOTION LABS, INC.";"-4.87";"BRB";"Serviços"
"02/01/2026";"AMAZON BR";"-125.30";"BRB";"Outros"
"04/01/2026";"AMAZONMKTPLC*PRESENTEP";"-195";"BRB";"Lazer"
"06/01/2026";"AMAZONMKTPLC*LTICOMERC";"-62.90";"BRB";"Outros"
"06/01/2026";"AMAZONMKTPLC*LKLBCOMER";"-33.98";"BRB";"Outros"
"12/01/2026";"UBER * PENDING";"-15.21";"BRB";"Transporte"
"12/01/2026";"UBER * PENDING";"-15.01";"BRB";"Transporte"
"13/12/2025";"OPENAI *CHATGPT SUBSCR US$ 20,00 R$ 5,6400";"-112.80";"BRB";"Serviços"
"30/12/2025";"NOTION LABS, INC. US$ 24,00 R$ 5,7962";"-139.11";"BRB";"Serviços"
