"Data";"Descrição";"Valor";"Conta";"Categoria"
"09/09/2025";"PG *AFYA PARTICIP (9/12)";"-212.35";"BRB";"Educação"
"29/10/2025";"IG*MYPROFIT (7/12)";"-17.90";"BRB";"Serviços"
"20/12/2025";"LOJA 18 STAR (5/6)";"-200";"BRB";"Vestuário"
"20/12/2025";"LOJA 18 STAR (5/6)";"-150";"BRB";"Vestuário"
"22/02/2026";"CARTERS (3/5)";"-975.93";"BRB";"Vestuário"
"02/04/2026";"GAZELA (2/4)";"-422.50";"BRB";"Restaurante"
"13/04/2026";"DL *UBERRIDES";"-18.94";"BRB";"Transporte"
"13/04/2026";"DL *UBERRIDES";"-9.95";"BRB";"Transporte"
"14/04/2026";"DL *UBERRIDES";"-30.99";"BRB";"Transporte"
"14/04/2026";"DL *UBERRIDES";"-12.95";"BRB";"Transporte"
"14/04/2026";"DL *UBERRIDES";"-17.97";"BRB";"Transporte"
"14/04/2026";"DL *UBERRIDES";"-9.93";"BRB";"Transporte"
"16/04/2026";"DL *UBERRIDES";"-18.94";"BRB";"Transporte"
"16/04/2026";"DL *UBERRIDES";"-9.94";"BRB";"Transporte"
"16/04/2026";"DL *UBERRIDES";"-14.94";"BRB";"Transporte"
"16/04/2026";"DL *UBERRIDES";"-9.93";"BRB";"Transporte"
"17/04/2026";"RESTAURANTE TREVO";"-67.90";"BRB";"Restaurante"
"17/04/2026";"CONCESSIONARIA DA RODO";"-11.60";"BRB";"Transporte"
"22/04/2026";"CONCESSIONARIA DA RODO";"-11.60";"BRB";"Transporte"
"23/04/2026";"AGESTANTE (1/2)";"-300.20";"BRB";"Outros"
"24/04/2026";"BRADESCO AUT*09DE10";"-307.61";"BRB";"Serviços"
"24/04/2026";"UBER * PENDING";"-22.98";"BRB";"Transporte"
"24/04/2026";"UBER * PENDING";"-20.95";"BRB";"Transporte"
"25/04/2026";"BIG BOX";"-150.59";"BRB";"Outros"
"25/04/2026";"SAMS CLUB BRASILIA 493";"-279.92";"BRB";"Supermercado"
"25/04/2026";"SAMS CLUB BRASILIA 493";"-150";"BRB";"Supermercado"
"30/04/2026";"REDE AQUI";"-150";"BRB";"Outros"
"01/05/2026";"JERIVA";"-41.66";"BRB";"Outros"
"01/05/2026";"SHOULDER - OUTLET PREM";"-239.60";"BRB";"Vestuário"
"01/05/2026";"CAJU LIMAO COMERCIO DE";"-16.68";"BRB";"Supermercado"
"01/05/2026";"CAJU LIMAO COMERCIO DE";"-65";"BRB";"Outros"
"01/05/2026";"DROGASIL 1368";"-28.91";"BRB";"Saúde"
"01/05/2026";"I PARK ESTACIONAMENTOS";"-25";"BRB";"Transporte"
"02/05/2026";"BIG BOX";"-241.87";"BRB";"Eletrônicos"
"02/05/2026";"ATACADAO DIA A DIA";"-210.82";"BRB";"Supermercado"
"03/05/2026";"CASA NORO";"-129";"BRB";"Casa"
"04/05/2026";"EBN *SPOTIFY";"-40.90";"BRB";"Lazer"
"07/05/2026";"BIG BOX";"-96.65";"BRB";"Supermercado"
"07/05/2026";"MP *DOGSUDOESTE";"-26";"BRB";"Serviços"
"09/05/2026";"APPLE.COM/BILL";"-19.90";"BRB";"Serviços"
"10/05/2026";"COCO BAMBU LAGO S";"-117";"BRB";"Restaurante"
"11/05/2026";"BIG BOX";"-112.09";"BRB";"Supermercado"
