"Data";"Descrição";"Valor";"Conta";"Categoria"
"27/12/2025";"SAMSUNG TERRACO S";"-208.25";"BRB";"Eletrônicos"
"12/02/2026";"BIG BOX";"-30.93";"BRB";"Supermercado"
"14/02/2026";"CAFE ANGELITA";"-158.20";"BRB";"Restaurante"
"15/02/2026";"MANGAI DF LAGO";"-86.16";"BRB";"Restaurante"
"15/02/2026";"JARDIM BOM DEMAIS";"-26.70";"BRB";"Casa"
"16/02/2026";"TRADIO *SHOPPING ENXOV";"-49.99";"BRB";"Casa"
"16/02/2026";"BIG BOX";"-90.85";"BRB";"Supermercado"
"17/02/2026";"AHCAI SUDOESTE";"-43";"BRB";"Outros"
"18/02/2026";"ATACADAO DIA A DIA";"-437.02";"BRB";"Supermercado"
"18/02/2026";"BIG BOX";"-11.10";"BRB";"Supermercado"
"18/02/2026";"TRADIO *SHOPPING ENXOV";"-39.99";"BRB";"Casa"
"19/02/2026";"BIG BOX";"-121.30";"BRB";"Supermercado"
"21/02/2026";"BIG BOX";"-32.72";"BRB";"Outros"
"21/02/2026";"CANTINHO DO RIO";"-5";"BRB";"Restaurante"
"21/02/2026";"LAVA JATO CANTINHO DO";"-350";"BRB";"Transporte"
"22/02/2026";"JERIVA";"-93.42";"BRB";"Outros"
"22/02/2026";"JERIVA";"-37.75";"BRB";"Outros"
"22/02/2026";"LOCCITANE OUTLET BRASI";"-119.20";"BRB";"Saúde"
"22/02/2026";"HADCO COMERCIO DE ALIME";"-30.70";"BRB";"Supermercado"
"22/02/2026";"I PARK ESTACIONAMENTOS";"-28";"BRB";"Transporte"
"22/02/2026";"DONA SUDOESTE";"-163.33";"BRB";"Restaurante"
"22/02/2026";"ALEXANIA OUTLET 000142 (1/3)";"-112.59";"BRB";"Vestuário"
"22/02/2026";"ARAMIS OUTLET BRASILIA (1/3)";"-803.10";"BRB";"Vestuário"
"22/02/2026";"ALEXANIA OUTLET 000142 (1/3)";"-280.01";"BRB";"Vestuário"
"23/02/2026";"PAO DE ACUCAR-1296";"-45.01";"BRB";"Supermercado"
"28/02/2026";"MP *WESTCAR";"-139";"BRB";"Transporte"
"28/02/2026";"DF VEICULOS";"-466.69";"BRB";"Transporte"
"28/02/2026";"ATACADAO DIA A DIA";"-1323.28";"BRB";"Supermercado"
"01/03/2026";"AHCAI SUDOESTE";"-32";"BRB";"Restaurante"
"02/03/2026";"TAIOBA SELF SERVICE";"-21.21";"BRB";"Restaurante"
"03/03/2026";"WOW*FIO MARAVILHA BARB";"-310";"BRB";"Serviços"
"04/03/2026";"LANCHONETE ESCOLA";"-31.76";"BRB";"Restaurante"
"04/03/2026";"SENAC";"-196.89";"BRB";"Educação"
"05/03/2026";"MOTIVA IMOVEIS LTDA";"-26.75";"BRB";"Casa"
"05/03/2026";"TAIOBA SELF SERVICE";"-20.87";"BRB";"Restaurante"
"06/03/2026";"AHCAI SUDOESTE";"-57";"BRB";"Outros"
"07/03/2026";"BIG BOX";"-67.22";"BRB";"Eletrônicos"
"07/03/2026";"NOTTE DINCANTO";"-110.48";"BRB";"Restaurante"
"08/03/2026";"OPENAI *CHATGPT SUBSCR";"-3.82";"BRB";"Serviços"
"08/03/2026";"CHEZ FONDUE APOS 1730";"-214.52";"BRB";"Restaurante"
"08/03/2026";"VMR COM DE JORNAIS";"-16";"BRB";"Lazer"
"09/03/2026";"TAIOBA SELF SERVICE";"-8.86";"BRB";"Restaurante"
"09/03/2026";"TAIOBA SELF SERVICE";"-23.06";"BRB";"Restaurante"
"10/03/2026";"REDE AQUI";"-150";"BRB";"Outros"
"11/03/2026";"TAIOBA SELF SERVICE";"-25.87";"BRB";"Restaurante"
"12/03/2026";"POTIGUAR SUDOESTE";"-42.85";"BRB";"Supermercado"
"12/03/2026";"BIG BOX";"-108.83";"BRB";"Eletrônicos"
"12/03/2026";"BIG BOX";"-1.22";"BRB";"Supermercado"
"12/03/2026";"BOULEVARD SHOPPING BRA";"-9.50";"BRB";"Lazer"
"12/03/2026";"ASSB COMERCIO VAR";"-23.83";"BRB";"Outros"
"12/03/2026";"MP *OTICALAVISH (1/2)";"-575";"BRB";"Saúde"
"13/03/2026";"Anuidade";"-140";"BRB";"Serviços"
"13/03/2026";"Tarifa Alerta por SMS";"-5";"BRB";"Serviços"
"08/03/2026";"OPENAI *CHATGPT SUBSCR US$ 20,00 R$ 5,4539";"-109.08";"BRB";"Serviços"
